id	author	pubb_w	pubbl_it	pubbl_la
32	Virgilio	Bucoliche	-	Eclogae_vel_bucolica
33	Virgilio	Georgiche	Georgiche	Georgica
34	Virgilio	Eneide	Eneide_(Caro)	Aeneis
35	Virgilio	Omnia_vincit_amor	-	-
36	Virgilio	Timeo_Danaos_et_dona_ferentes	-	-
37	Orazio	Carpe_diem	-	-
38	Orazio	Epodi	-	Epodi
39	Orazio	Odi_(Orazio)	Le_odi_di_Orazio	Carmina_(Horatius)
40	Orazio	Satire_(Orazio)	Satire_(Orazio)	Sermones_(Horatius)
41	Orazio	Ars poetica	-	Ars_poetica
42	Gaio_Cornelio_Gallo	Gaio_Cornelio_Gallo	Gaio_Cornelio_Gallo	-
43	Albio_Tibullo	Albio_Tibullo	Albio_Tibullo	Albius_Tibullus
44	Albio_Tibullo	Corpus_Tibullianum	-	Opera_omnia_(Tibullus)
45	Sesto_Properzio	Sesto_Properzio	Sesto_Properzio	Sextus_Aurelius_Propertius
46	Sesto_Properzio	Elegie_(Properzio)	-	Elegiae_(Propertius)
47	Ovidio	Amores	-	Amores
48	Ovidio	Ars_amatoria	I_tre_libri_dell'arte_amatoria_ed_il_libro_de'_rimedj_d'amore	Ars_amatoria
49	Ovidio	Eroidi	-	Heroides
50	Ovidio	Le_metamorfosi	Le_Metamorfosi	Metamorphoses_(Ovidius)
51	Ovidio	Tristia	-	Tristia
52	Ovidio	Epistulae_ex_Ponto	-	Epistulae_ex_Ponto
53	Livio	Storiografia_romana (approfondimento)	-	-
54	Livio	Ab_Urbe_condita_libri	-	Ab_Urbe_Condita
55	Seneca	Posizione_politica_di_Seneca (approfondimento)	-	-
56	Seneca	De_beneficiis	-	De_Beneficiis
57	Seneca	De_brevitate_vitae	-	De_brevitate_vitae
58	Seneca	De_vita_beata	-	De_vita_beata
59	Seneca	Epistulae_morales_ad_Lucilium	-	Epistulae_morales_ad_Lucilium
60	Seneca	Medea_(Seneca)	Medea	Medea
61	Seneca	Naturales quaestiones (deest)	-	Quaestiones_Naturales
62	Petronio	Satyricon	Satire_di_Tito_Petronio_Arbitro	Satyricon
63	Patercolo	Historiae_romanae	-	Historiae_Romanae
64	Valerio Massimo	Memorabilia	-	Factorum_et_dictorum_memorabilium_libri_IX
65	Plinio il Vecchio	Naturalis_historia	-	Naturalis_Historia
66	Fedro	Fabulae_(Fedro)	Favole_(Fedro)	Fabulae_(Phaedrus)
67	Lucano	Pharsalia	Farsaglia	Pharsalia
68	Persio	Satire (deest)	Satire_(Persio)	Saturae_(Persius,_Monti)
69	Silio Italico	Punica	-	Punica
70	Stazio	Tebaide	La_Tebaide	Thebais
71	Flacco	Argonautica	L'Argonautica	Argonautica_(Valerius_Flaccus)
72	Quintiliano	Institutio_oratoria	-	De_Institutione_Oratoria
73	Marziale	Epigrammi	-	Epigrammaton_libri_XII
74	Giovenale	Satire_(Giovenale)	Satire_(Giovenale)	Saturae_(Iuvenalis,_Bucheler)
75	Plinio il Giovane	Lettere_di_Plinio	-	Epistularum_Libri_Decem_(Gaius_Plinius_Caecilius_Secundus)
76	Plinio il Giovane	Panegirico_di_Traiano	-	Panegyricus_(Plinius)
77	Tacito	Historiae_(Tacito)	Storie_(Tacito)	Historiae_(Tacitus)
78	Tacito	Annales_(Tacito)	Annali_(Tacito)	Ab_excessu_divi_Augusti_(Annales)
79	Tacito	Agricola	-	De_vita_et_moribus_Iulii_Agricolae
80	Tacito	Germania	-	De_origine_et_situ_Germanorum_(Germania)
81	Svetonio	Vite_dei_Cesari	-	De_vita_Caesarum_libri_VIII
82	Svetonio	De_viris_illustribus_(Svetonio)	-	De_viris_illustribus_(Suetonius)
83	Svetonio	Le_metamorfosi_(Apuleio)	L'asino_d'oro	Metamorphoses_(Apuleius)
84	Svetonio	Amore_e_Psiche (approfondimento)	-	Psyche_et_Cupido
85	Svetonio	Apologia_(Apuleio)	-	Apologia_sive_pro_se_de_magia
86	Apuleio	Le_metamorfosi_(Apuleio)	L'asino_d'oro	Metamorphoses_(Apuleius)
87	Apuleio	Amore_e_Psiche (approfondimento)	-	Psyche_et_Cupido
88	Apuleio	Apologia_(Apuleio)	-	Apologia_sive_pro_se_de_magia
89	Gellio	Noctes_Atticae	-	Noctes_Atticae
90	Ammiano Marcellino	Storie_(Ammiano_Marcellino)	-	Res_Gestae_Libri_XXXI
91	Ausonio	Mosella_(poema)	-	Mosella
92	Simmaco	Epistolario (deest)	-	Libri_Decem_Epistolarum
93	Claudiano	De raptu Proserpinae (deest)	-	De_raptu_Proserpinae
94	Namaziano	De_reditu_suo	-	De_reditu_suo
95	Namaziano	Querolus_sive_Aulularia	-	-
96	Sidonio Apollinare	Carmina_(Sidonio_Apollinare)	-	Carmina_(Sidonius_Apollinaris)
97	Agostino	Pensiero_di_Agostino_d'Ippona	-	-
98	Agostino	Confessioni	-	Confessiones
99	Agostino	La_città_di_Dio	-	De_civitate_Dei
100	Boezio	De_consolatione_philosophiae	Della_consolazione_della_filosofia	De_philosophiae_consolatione
101	Cassiodoro	Variae (deest)	-	Variarum_libri_XII
102	Guittone d'Arezzo	Tutt'or_ch'eo_dirò_gioi,_gioiva_cosa	Tutt'or_ch'eo_dirò_gioi,_gioiva_cosa	-
103	Guido Guinizelli	Al_cor_gentil_rempaira_sempre_amore	Al_cor_gentil_rempaira_sempre_amore	-
