id_wikidata	article	subject	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	first_edit	days	all_visits	VdQ	vetrina	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource
Q1045	Somalia	Geografia	407	407	84906	81086	76	72	36	35	28	28	7398	8.71	5695	1	0	3	0	25481	25481	2006-11-30	5297	879466	1	0	0	Somalia	Somalia
Q1045266	Struttura del Decameron	Letteratura italiana	185	179	57196	56989	3	2	1	1	7	7	1764	3.08	1764	0	0	0	0	50	50	2007-11-22	4940	399179	29	0	0		
Q1047682	Teatro dell'Asia e del Pacifico della prima guerra mondiale	Storia	11	11	10440	10440	1	1	2	2	2	2	769	7.37	769	1	1	0	0	148	148	2010-02-24	4115	23242	-2	0	0		
Q1048	Gaio Giulio Cesare	Storia	1516	1443	169108	165607	235	233	58	57	60	60	4222	2.50	4197	0	0	0	0	49828	48336	2006-04-23	5518	3278568	370	0	1	Julius Caesar	Autore:Gaio Giulio Cesare
Q1048268	Integrazione europea	Cittadinanza e costituzione	30	27	7062	7057	6	6	1	1	3	3	333	4.72	333	1	1	0	0	1120	1120	2012-10-31	3135	63888	11	0	0		
Q104837	Fase (chimica)	Chimica	60	58	4085	4085	1	1	2	2	0	0	1067	26.12	1067	0	0	0	0	1767	1767	2004-10-29	6059	128744	6	0	0		
Q1048468	Fenici	Storia	495	489	64215	55217	20	10	16	16	11	11	2364	3.68	2340	1	1	0	0	15229	15229	2004-07-22	6158	1070624	32	0	0	Phoenicia	
Q104851	Firmware	Informatica	209	220	4656	4271	1	1	2	0	0	0	516	11.08	408	1	1	0	0	521	521	2003-02-28	6668	451911	-52	0	0	Firmware	
Q104884	Caspar David Friedrich	Storia dell'arte	274	274	46432	46236	56	56	29	29	12	12	484	1.04	484	0	0	0	0	4390	4390	2005-08-08	5776	592398	1	0	0	Caspar David Friedrich	Caspar David Friedrich
Q1049	Sudan	Geografia	308	311	64948	59968	23	17	21	19	5	5	5827	8.97	5589	1	0	0	0	1850	1813	2005-01-11	5985	666674	-11	0	0	Sudan	Sudan السودان
Q104946	Quantità di sostanza	Chimica	70	70	5035	4378	0	0	1	0	0	0	1172	23.28	1008	0	0	0	0	37	37	2005-09-06	5747	150640	-1	0	0		
Q1049476	Costruttore (informatica)	Informatica	16	14	5794	5686	0	0	0	0	1	1	442	7.63	442	0	0	0	0	286	286	2006-04-21	5520	34072	10	0	0		
Q1049866	Ecologia della popolazione	Biologia	20	19	25044	24455	0	0	1	0	4	4	1762	7.04	1180	1	1	1	0	1988	1988	2006-03-18	5554	43042	4	0	0	Population ecology	
Q1050744	Pronome relativo	Grammatica italiana	236	239	6534	6558	1	1	0	0	2	2	1430	21.89	1454	1	1	0	0	390	306	2006-07-06	5444	510473	-12	0	0		
Q1051175	Complemento (linguistica)	Grammatica italiana	91	90	10510	10491	5	5	0	0	2	2	688	6.55	740	0	0	0	0	2234	1931	2005-10-03	5720	197747	9	0	0		
Q105210	Legge	Cittadinanza e costituzione	121	125	7664	7693	0	0	1	0	0	0	305	3.98	128	1	0	0	0	7367	7367	2003-01-17	6710	262566	-19	0	0		
Q1052120	Campagna dell'Africa Orientale Italiana	Storia	70	66	41604	41466	42	42	16	21	7	7	3980	9.57	3980	0	0	0	0	2597	2597	2007-07-03	5082	150411	16	0	0	East African campaign	
Q105290	Prassitele	Storia dell'arte	66	65	13845	13805	15	15	4	4	5	5	730	5.27	731	0	0	0	0	203	203	2006-03-31	5541	142082	4	0	0	Praxiteles	Praxiteles
Q1053185	Assemblea Costituente (Italia)	Cittadinanza e costituzione	107	410	34321	31232	41	35	6	6	2	2	827	2.41	768	0	0	0	0	2260	2260	2004-05-01	6240	232245	519	0	0	Constituent Assembly of Italy	Autore:Assemblea Costituente della Repubblica Italiana
Q1053313	Gerusalemme liberata	Letteratura italiana	315	306	72181	72219	21	21	17	17	4	4	2359	3.27	2368	0	0	0	0	953	953	2006-12-04	5293	681980	49	0	0	Gerusalemme liberata	Opera:Gerusalemme liberata
Q1053947	Codice civile italiano	Diritto e Economia	236	221	15101	15025	4	4	0	0	0	0	616	4.08	616	0	0	0	0	3761	3761	2005-04-26	5880	509608	75	0	0		Codice civile
Q1054168	Consiglio superiore della magistratura	Diritto e Economia	404	377	32767	32259	22	21	3	3	14	14	408	1.25	397	1	1	1	0	16385	16385	2005-06-02	5843	872554	137	0	0		
Q1054254	Arte informale	Storia dell'arte	79	80	7127	3888	0	0	3	0	14	14	4289	60.18	1361	0	1	0	0	2608	2608	2005-06-22	5823	170859	-3	0	0		
Q1055609	Ruzante	Letteratura italiana	54	54	12846	12846	1	1	3	3	2	2	750	5.84	750	0	0	2	0	2819	2819	2005-02-28	5937	117112	3	0	0	Ruzante	Autore:Angelo Beolco
