id	author	name	surname	author_w	author_ws_it	author_ws_la	period_	period	source	school
15	Cornelio Nepote	Cornelio	Nepote	Cornelio Nepote	Cornelio_Nepote	Cornelius_Nepos	I sec. a.C. - Età Cesarea/Ciceroniana	-1	la	terzo liceo
16	Tito_Pomponio_Attico	Tito	Pomponio Attico	Tito_Pomponio_Attico	-	-	I sec. a.C. - Età Cesarea/Ciceroniana	-1	la	terzo liceo
17	Cesare	Gaio Giulio	Cesare	Gaio Giulio Cesare	Gaio_Giulio_Cesare	Gaius_Iulius_Caesar	I sec. a.C. - Età Cesarea/Ciceroniana	-1	la	terzo liceo
18	Gaio Sallustio Crispo		Sallustio	Gaio Sallustio Crispo	Gaio_Sallustio_Crispo	Gaius_Sallustius_Crispus	I sec. a.C. - Età Cesarea/Ciceroniana	-1	la	terzo liceo
19	Marco_Tullio_Cicerone	Marco Tullio	Cicerone	Marco_Tullio_Cicerone	Marco_Tullio_Cicerone	Marco_Tullio_Cicerone	I sec. a.C. - Età Cesarea/Ciceroniana	-1	la	terzo liceo
20	Publio Virgilio Marone		Virgilio	Publio Virgilio Marone	Publio_Virgilio_Marone	Publius_Vergilius_Maro	Età Augustea, 31 a.C.-14 d.C.	0	la	quarto liceo
21	Quinto Orazio Flacco		Orazio	Orazio	Quinto_Orazio_Flacco	Quintus_Horatius_Flaccus	Età Augustea, 31 a.C.-14 d.C.	0	la	quarto liceo
22	Gaio Cornelio Gallo	Gaio Cornelio	Gallo	Gaio_Cornelio_Gallo	Gaio_Cornelio_Gallo	-	Età Augustea, 31 a.C.-14 d.C.	0	la	quarto liceo
23	Albio_Tibullo	Albio	Tibullo	Albio_Tibullo	Albio_Tibullo	Albius_Tibullus	Età Augustea, 31 a.C.-14 d.C.	0	la	quarto liceo
24	Sesto_Properzio	Sesto	Properzio	Sesto_Properzio	Sesto_Properzio	Sextus_Aurelius_Propertius	Età Augustea, 31 a.C.-14 d.C.	0	la	quarto liceo
25	Ovidio		Ovidio	Ovidio	Publio_Ovidio_Nasone	Publius_Ovidius_Naso	Età Augustea, 31 a.C.-14 d.C.	0	la	quarto liceo
26	Livio		Livio	Livio	Tito_Livio	Titus_Livius	Età Augustea, 31 a.C.-14 d.C.	0	la	quarto liceo
27	Seneca		Seneca	Seneca	Lucio_Anneo_Seneca	Lucius_Annaeus_Seneca	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quarto liceo
28	Petronio		Petronio	Petronio	Petronio_Arbitro	Petronius_Arbiter	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
29	Patercolo		Patercolo	Velleio_Patercolo	Velleio_Patercolo	Velleius_Paterculus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
30	Valerio Massimo	Valerio	Massimo	Valerio_Massimo	Valerio_Massimo	Valerius_Maximus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
31	Quinto_Curzio_Rufo	Quinto	Curzio Rufo	Quinto_Curzio_Rufo	Quinto_Curzio_Rufo	Quintus_Curtius_Rufus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
32	Lucio_Giunio_Moderato_Columella	Lucio Giunio Moderato	Columella	Lucio_Giunio_Moderato_Columella	Lucio_Giunio_Moderato_Columella	Lucius_Iunius_Moderatus_Columella	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
33	Pomponio_Mela	Pomponio	Mela	Pomponio_Mela	Pomponio_Mela	Pomponius_Mela	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
34	Marco_Gavio_Apicio	Marco Gavio	Apicio	Marco_Gavio_Apicio	Marco_Gavio_Apicio	Marcus_Gavius_Apicius	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
35	Aulo_Cornelio_Celso	Aulo Cornelio	Celso	Aulo_Cornelio_Celso	Aulo_Cornelio_Celso	Aulus_Cornelius_Celsus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
36	Plinio il Vecchio		Plinio il Vecchio	Plinio_il_Vecchio	Gaio_Plinio_Secondo	Gaius_Plinius_Secundus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
37	Fedro		Fedro	Fedro	Fedro	Phaedrus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
38	Lucano		Lucano	Lucano	Marco_Anneo_Lucano	Marcus_Annaeus_Lucanus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
39	Persio		Persio	Persio	Aulo_Persio_Flacco	Aulus_Persius_Flaccus	Età Imperiale Giulio-Claudia, 14-68 d.C.	0.01	la	quinto liceo
40	Silio Italico		Silio Italico	Silio Italico	Silio_Italico	Silius_Italicus	Età dei  Flavi, 69-117	0.1	la	quinto liceo
41	Stazio		Stazio	Publio_Papinio_Stazio	Publio_Papinio_Stazio	Publius_Papinius_Statius	Età dei  Flavi, 69-118	0.1	la	quinto liceo
42	Flacco		Flacco	Flacco	Gaio_Valerio_Flacco	Gaius_Valerius_Flaccus	Età dei  Flavi, 69-119	0.1	la	quinto liceo
43	Quintiliano		Quintiliano	Quintiliano	Marco_Fabio_Quintiliano	Marcus_Fabius_Quintilianus	Età dei  Flavi, 69-120	0.1	la	quinto liceo
44	Marziale		Marziale	Marco_Valerio_Marziale	Marco_Valerio_Marziale	Marcus_Valerius_Martialis	Età dei  Flavi, 69-121	0.1	la	quinto liceo
45	Giovenale		Giovenale	Biografia	Decimo_Giunio_Giovenale	Decimus_Iunius_Iuvenalis	Età dei  Flavi, 69-122	0.1	la	quinto liceo
46	Plinio il Giovane		Plinio il Giovane	Plinio il Giovane	Gaio_Plinio_Cecilio_Secondo	Gaius_Plinius_Caecilius_Secundus	Età dei  Flavi, 69-123	0.1	la	quinto liceo
47	Tacito		Tacito	Tacito	Publio_Cornelio_Tacito	Publius_Cornelius_Tacitus	Età dei  Flavi, 69-125	0.1	la	quinto liceo
48	Svetonio		Svetonio	Svetonio	Gaio_Svetonio_Tranquillo	Gaius_Suetonius_Tranquillus	Età Antonina, 117-192	0.11	la	quinto liceo
49	Apuleio		Apuleio	Apuleio	Apuleio	Lucius_Apuleius	Età Antonina, 117-197	0.11	la	quinto liceo
50	Gellio		Gellio	Gellio	Aulo_Gellio	Aulus_Gellius	Età Antonina, 117-200	0.11	la	quinto liceo
51	Ammiano Marcellino	Ammiano	Marcellino	Ammiano Marcellino	Ammiano_Marcellino	Ammianus_Marcellinus	Età della decadenza, III-IV secolo	3	la	quinto liceo
52	Ausonio		Ausonio	Ausonio	Decimo_Magno_Ausonio	Decimus_Magnus_Ausonius	Età della decadenza, III-IV secolo	3	la	quinto liceo
53	Simmaco		Simmaco	Simmaco	Quinto_Aurelio_Simmaco	Quintus_Aurelius_Symmachus	Età della decadenza, III-IV secolo	3	la	quinto liceo
54	Sant'Ambrogio		Sant'Ambrogio	Sant'Ambrogio	Sant'Ambrogio	Ambrosius	Età della decadenza, III-IV secolo	3	la	quinto liceo
55	Tertulliano		Tertulliano	Tertulliano	Quinto_Settimio_Fiorente_Tertulliano	Quintus_Septimius_Florens_Tertullianus	Età della decadenza, III-IV secolo	3	la	quinto liceo
56	Claudiano	Claudio	Claudiano	Claudio Claudiano	Claudio_Claudiano	Claudius_Claudianus	V secolo e post	5	la	quinto liceo
57	Namaziano	Claudio Rutilio	Namaziano	Claudio Rutilio Namaziano	Claudio_Rutilio_Namaziano	Claudius_Rutilius_Namatianus	V secolo e post	5	la	quinto liceo
58	Gaio Sollio Sidonio Apollinare	Gaio Sollio Sidonio	Apollinare	Sidonio Apollinare	Gaio_Sollio_Sidonio_Apollinare	Sidonius_Apollinaris	V secolo e post	5	la	quinto liceo
59	Agostino		Agostino	Agostino	Agostino_d'Ippona	Aurelius_Augustinus	V secolo e post	5	la	quinto liceo
60	Boezio	Severino	Boezio	Severino Boezio	Anicio_Manlio_Torquato_Severino_Boezio	Anicius_Manlius_Torquatus_Severinus_Boethius	V secolo e post	5	la	quinto liceo
61	Cassiodoro		Cassiodoro	Cassiodoro	Flavio_Magno_Aurelio_Cassiodoro	Flavius_Magnus_Aurelius_Cassiodorus_Senator	V secolo e post	5	la	quinto liceo
62	Guittone d'Arezzo		Guittone d'Arezzo	Guittone d'Arezzo	Testi_di_Guittone_d'Arezzo	-	XIII secolo - Scuola toscana	13	it	-
63	Guido Guinizelli	Guido	Guinizelli	Guido Guinizelli	Testi_di_Guido_Guinizzelli	-	XIII secolo - Scuola toscana	13	it	-
64	Guido Cavalcanti	Guido	Cavalcanti	Guido Cavalcanti	Testi_di_Guido_Cavalcanti	-	XIII secolo - Scuola toscana	13	it	-
65	Cino da Pistoia		Cino da Pistoia	Cino da Pistoia	Testi_di_Cino_da_Pistoia	-	XIII secolo - Scuola toscana	13	it	-
66	Cecco Angiolieri	Cecco	Angiolieri	Cecco Angiolieri	Testi_di_Cecco_Angiolieri	-	XIII secolo - Scuola toscana	13	it	-
67	Iacopone da Todi		Iacopone da Todi	Iacopone da Todi	Testi_di_Jacopone_da_Todi	-	XIII secolo - Scuola toscana	13	it	-
68	Dante Alighieri	Dante	Alighieri	Dante Alighieri	Testi_di_Dante_Alighieri	-	XIII secolo - Scuola toscana	13	it	-
69	Marco Polo	Marco	Polo	Marco Polo	Marco Polo	-	Secolo XIII - prosa narrativa	13.1	it	-
70	Francesco_Landini	Francesco	Landini	Francesco_Landini	-	-	Secolo XIV	14	it	-
71	Giovanni_Villani	Giovanni	Villani	Giovanni_Villani	Nuova_Cronica	-	Secolo XIV	14	it	-
72	Antonio_Pucci_(poeta)	Antonio	Pucci	Antonio_Pucci_(poeta)	Testi_di_Antonio_Pucci	-	Secolo XIV	14	it	-
73	Franco Sacchetti	Franco	Sacchetti	Franco Sacchetti	Testi_di_Franco_Sacchetti	-	Secolo XIV	14	it	-
74	Petrarca	Francesco	Petrarca	Francesco Petrarca	Testi_di_Francesco_Petrarca	-	Secolo XIV	14	it	-
75	Boccaccio	Giovanni	Boccaccio	Giovanni Boccaccio	Testi_di_Giovanni_Boccaccio	-	Secolo XIV	14	it	-
76	Lorenzo_Valla	Lorenzo	Valla	Lorenzo_Valla	-	-	XV Secolo	15	it	-
77	Burchiello		Burchiello	Burchiello (poeta)	-	-	XV Secolo	15	it	-
78	Giusto_de'_Conti	Giusto	De' Conti	Giusto_de'_Conti	-	-	XV Secolo	15	it	-
79	Leon_Battista_Alberti	Leon Battista	Alberti	Leon_Battista_Alberti	Testi_di_Leon_Battista_Alberti	-	XV Secolo	15	it	-
80	Leonardo_Bruni	Leonardo	Bruni	Leonardo_Bruni	Testi_di_Leonardo_Bruni	-	XV Secolo	15	it	-
81	Leonardo_da_Vinci		Leonardo da Vinci	Leonardo_da_Vinci	Testi_di_Leonardo_da_Vinci	-	XV Secolo	15	it	-
82	Giovanni_Pontano	Giovanni	Pontano	Giovanni_Pontano	Testi_di_Giovanni_Pontano	-	XV Secolo	15	it	-
83	Masuccio_Salernitano	Masuccio	Salernitano	Masuccio_Salernitano	Testi_di_Masuccio_Salernitano	-	XV Secolo	15	it	-
84	Jacopo_Sannazaro	Jacopo	Sannazaro	Jacopo_Sannazaro	Testi_di_Jacopo_Sannazaro	-	XV Secolo	15	it	-
85	Lorenzo de' Medici		Lorenzo de' Medici	Lorenzo de' Medici	Testi_di_Lorenzo_de'_Medici	-	XV Secolo	15	it	-
86	Luigi Pulci	Luigi	Pulci	Luigi Pulci	Testi_di_Luigi_Pulci	-	XV Secolo	15	it	-
87	Matteo Maria Boiardo	Matteo Maria	Boiardo	Matteo Maria Boiardo	Testi_di_Matteo_Maria_Boiardo	-	XV Secolo	15	it	-
88	Poliziano	Agnolo	Poliziano	Agnolo Poliziano	Testi_di_Angelo_Poliziano	-	XV Secolo	15	it	-
89	Niccolò Machiavelli	Niccolò	Machiavelli	Niccolò Machiavelli	Testi_di_Niccolò_Machiavelli	-	XV Secolo	15	it	-
90	Pietro Bembo	Bembo	Pietro	Pietro Bembo	Testi_di_Pietro_Bembo	-	XVI Secolo	16	it	-
91	Baldassarre Castiglione	Baldassarre	Castiglione	Baldassarre Castiglione	Testi_di_Baldassarre_Castiglione	-	XVI Secolo	16	it	-
92	Gaspara_Stampa	Gaspara	Stampa	Gaspara_Stampa	Testi_di_Gaspara_Stampa	-	XVI Secolo	16	it	-
93	Giovanni_Della_Casa	Giovanni	Della Casa	Giovanni_Della_Casa	Testi_di_Giovanni_Della_Casa	-	XVI Secolo	16	it	-
94	Francesco_Berni	Francesco	Berni	Francesco_Berni	Testi_di_Francesco_Berni	-	XVI Secolo	16	it	-
95	Agnolo_Firenzuola	Agnolo	Firenzuola	Agnolo_Firenzuola	Testi_di_Agnolo_Firenzuola	-	XVI Secolo	16	it	-
96	Teofilo_Folengo	Teofilo	Folengo	Teofilo_Folengo	Testi_di_Teofilo_Folengo	-	XVI Secolo	16	it	-
97	Bernardo_Dovizi	Bernardo	Dovizi	Bernardo Dovizi da Bibbiena	Testi_di_Bernardo_Dovizi_da_Bibbiena	-	XVI Secolo	16	it	-
98	Pietro_Aretino	Pietro	Aretino	Pietro_Aretino	Testi_di_Pietro_Aretino	-	XVI Secolo	16	it	-
99	Battista_Guarini	Battista	Guarini	Battista_Guarini	Testi_di_Battista_Guarini	-	XVI Secolo	16	it	-
100	Benvenuto_Cellini	Benvenuto	Cellini	Benvenuto_Cellini	Testi_di_Benvenuto_Cellini	-	XVI Secolo	16	it	-
101	Michelangelo_Buonarroti	Michelangelo	Buonarroti	Michelangelo_Buonarroti	Testi_di_Michelangelo_Buonarroti	-	XVI Secolo	16	it	-
102	Vittoria_Colonna	Vittoria	Colonna	Vittoria_Colonna	Testi_di_Vittoria_Colonna	-	XVI Secolo	16	it	-
103	Celio_Magno	Celio	Magno	Celio_Magno	Testi_de_Celio_Magno (su vec)	-	XVI Secolo	16	it	-
104	Ruzante		Ruzante	Ruzante	Testi_de_Ruzante (su vec)	-	XVI Secolo	16	it	-
105	Francesco Guicciardini	Francesco	Guicciardini	Francesco Guicciardini	Testi_di_Francesco_Guicciardini	-	XVI Secolo	16	it	-
106	Ludovico Ariosto	Ludovico	Ariosto	Ludovico Ariosto	Testi_di_Ludovico_Ariosto	-	XVI Secolo	16	it	-
107	Torquato Tasso	Torquato	Tasso	Torquato Tasso	Testi_di_Torquato_Tasso	-	XVI Secolo	16	it	-
108	Alessandro_Tassoni	Alessandro	Tassoni	Alessandro_Tassoni	Testi_di_Alessandro_Tassoni	-	XVII Secolo	17	it	-
109	Ciro_di_Pers		Ciro di Pera	Ciro_di_Pers	Testi_di_Ciro_di_Pers	-	XVII Secolo	17	it	-
110	Paolo_Sarpi	Paolo	Sarpi	Paolo_Sarpi	Testi_di_Paolo_Sarpi	-	XVII Secolo	17	it	-
111	Tommaso_Campanella	Tommaso	Campanella	Tommaso_Campanella	Testi_di_Tommaso_Campanella	-	XVII Secolo	17	it	-
112	Giacomo_Lubrano	Giacomo	Lubrano	Giacomo_Lubrano	Testi_di_Giacomo_Lubrano	-	XVII Secolo	17	it	-
113	Giambattista Basile	Giambattista	Basile	Giambattista Basile	Testi_di_Giambattista_Basile	-	XVII Secolo	17	it	-
114	Galileo Galilei	Galileo	Galilei	Galileo Galilei	Testi_di_Galileo_Galilei	-	XVII Secolo	17	it	-
115	Giovan Battista Marino	Giovan Battista 	Marino	Giovan Battista Marino	Testi_di_Giovan_Battista_Marino	-	XVII Secolo	17	it	-
116	Pietro_Metastasio	Pietro	Metastasio	Pietro_Metastasio	Testi_di_Pietro_Metastasio	-	XVIII Secolo	18	it	-
117	Giambattista Vico	Giambattista	Vico	Giambattista Vico	Testi_di_Giambattista_Vico	-	XVIII Secolo	18	it	-
118	Lorenzo_Da_Ponte	Lorenzo	Da Ponte	Lorenzo_Da_Ponte	Testi_di_Lorenzo_Da_Ponte	-	XVIII Secolo	18	it	-
119	Voltaire		Voltaire	Voltaire	Candido	-	XVIII Secolo	18	it	-
120	Denis_Diderot	Denis	Diderot	Denis_Diderot	-	-	XVIII Secolo	18	it	-
121	Pietro_Verri	Pietro	Verri	Pietro_Verri	Testi_di_Pietro_Verri	-	XVIII Secolo	18	it	-
122	Alessandro_Verri	Alessandro	Verri	Alessandro_Verri	Testi_di_Alessandro_Verri	-	XVIII Secolo	18	it	-
123	Cesare_Beccaria	Cesare	Beccaria	Cesare_Beccaria	Testi_di_Cesare_Beccaria	-	XVIII Secolo	18	it	-
124	Carlo Goldoni	Carlo	Goldoni	Biografia	Testi_di_Carlo_Goldoni	-	XVIII Secolo	18	it	-
125	Giuseppe Parini	Giuseppe	Parini	Biografia	Testi_di_Giuseppe_Parini	-	XVIII Secolo	18	it	-
126	Vittorio Alfieri	Vittorio	Alfieri	Vittorio_Alfieri	Testi_di_Vittorio_Alfieri	-	XVIII Secolo	18	it	-
127	Vincenzo_Monti	Vincenzo	Monti	Vincenzo_Monti	Testi_di_Vincenzo_Monti	-	Fra XVIII e XIX sec.	18.1	it	-
128	Carlo_Porta	Carlo	Porta	Carlo_Porta	Testi_di_Carlo_Porta	-	Fra XVIII e XIX sec.	18.1	it	-
129	Ugo Foscolo	Ugo	Foscolo	Ugo Foscolo	Testi_di_Ugo_Foscolo	-	Primo Ottocento	18.2	it	-
130	Pietro_Borsieri	Pietro	Borsieri	Pietro_Borsieri	Testi_di_Pietro_Borsieri	-	Primo Ottocento	18.2	it	-
131	Pietro_Giordani	Pietro	Giordani	Pietro_Giordani	Testi_di_Pietro_Giordani	-	Primo Ottocento	18.2	it	-
132	Giovanni_Berchet	Giovanni	Berchet	Giovanni_Berchet	Testi_di_Giovanni_Berchet	-	Primo Ottocento	18.2	it	-
133	Giuseppe_Gioachino_Belli	Giuseppe	Belli	Giuseppe_Gioachino_Belli	Testi_di_Giuseppe_Gioachino_Belli	-	Primo Ottocento	18.2	it	-
134	Ippolito Nievo	Ippolito	Nievo	Ippolito Nievo	Testi_di_Ippolito_Nievo	-	Primo Ottocento	18.2	it	-
135	Giuseppe Verdi	Giuseppe	Verdi	Giuseppe Verdi	Testi_musicati_da_Giuseppe_Verdi	-	Primo Ottocento	18.2	it	-
136	Alessandro Manzoni	Alessandro	Manzoni	Alessandro Manzoni	Testi_di_Alessandro_Manzoni	-	Primo Ottocento	18.2	it	-
137	Giacomo Leopardi	Giacomo	Leopardi	Giacomo Leopardi	Testi_di_Giacomo_Leopardi	-	Primo Ottocento	18.2	it	-
138	Emilio_Praga	Emilio	Praga	Emilio_Praga	Testi_di_Emilio_Praga	-	Secondo Ottocento	18.5	it	-
139	Arrigo_Boito	Arrigo	Boito	Arrigo_Boito	Testi_di_Arrigo_Boito	-	Secondo Ottocento	18.5	it	-
140	Luigi_Capuana	Luigi	Capuana	Luigi_Capuana	Testi_di_Luigi_Capuana	-	Secondo Ottocento	18.5	it	-
141	Federico_De_Roberto	Federico	De Roberto	Federico_De_Roberto	Testi_di_Federico_De_Roberto	-	Secondo Ottocento	18.5	it	-
142	Émile Zola	Émile	Zola	Emile_Zola	Testi_di_Emile_Zola	-	Secondo Ottocento	18.5	it	-
143	Giovanni Verga	Giovanni	Verga	Giovanni Verga	Testi_di_Giovanni_Verga	-	Secondo Ottocento	18.5	it	-
144	Igino_Ugo_Tarchetti	Igino	Tarchetti	Igino_Ugo_Tarchetti	Testi_di_Iginio_Ugo_Tarchetti	-	Secondo Ottocento	18.5	it	-
145	Antonio Fogazzaro	Antonio	Fogazzaro	Antonio Fogazzaro	Testi_di_Antonio_Fogazzaro	-	Secondo Ottocento	18.5	it	-
146	Edmondo_De_Amicis	Edmondo	De Amicis	Edmondo_De_Amicis	Testi_di_Edmondo_De_Amicis	-	Secondo Ottocento	18.5	it	-
147	Carlo_Collodi	Carlo	Collodi	Carlo_Collodi	Testi_di_Carlo_Collodi	-	Secondo Ottocento	18.5	it	-
148	Emilio_Salgari	Emilio	Salgari	Emilio_Salgari	Testi_di_Emilio_Salgari	-	Secondo Ottocento	18.5	it	-
149	Salvatore_Di_Giacomo	Salvatore	Di Giacomo	Salvatore_Di_Giacomo	Testi_di_Salvatore_Di_Giacomo	-	Secondo Ottocento	18.5	it	-
150	Francesco_De_Sanctis	Francesco	De Sanctis	Francesco_De_Sanctis	Testi_di_Francesco_De_Sanctis	-	Secondo Ottocento	18.5	it	-
151	Giosuè Carducci	Giosuè	Carducci	Giosuè Carducci	Testi_di_Giosuè_Carducci	-	Secondo Ottocento	18.5	it	-
152	Giovanni Pascoli	Giovanni	Pascoli	Giovanni Pascoli	Testi_di_Giovanni_Pascoli	-	Secondo Ottocento	18.5	it	-
153	Gabriele D'Annunzio	Gabriele	D'Annunzio	Gabriele D'Annunzio	Testi_di_Gabriele_D'Annunzio	-	Primo novecento	19	it	-
155	Guido_Gozzano	Guido	Gozzano	Guido_Gozzano	Testi_di_Guido_Gozzano	-	Primo novecento	19	it	-
156	Sergio_Corazzini	Sergio	Corazzini	Sergio_Corazzini	Testi_di_Sergio_Corazzini	-	Primo novecento	19	it	-
157	Luigi Pirandello	Luigi	Pirandello	Luigi Pirandello	Testi_di_Luigi_Pirandello	-	Primo novecento	19	it	-
158	Dino_Campana	Dino	Campana	Dino_Campana	Testi_di_Dino_Campana	-	Primo novecento	19	it	-
159	Filippo_Tommaso_Marinetti	Filippo Tommaso	Marinetti	Filippo_Tommaso_Marinetti	Testi_di_Filippo_Tommaso_Marinetti	-	Primo novecento	19	it	-
160	Aldo_Palazzeschi	Aldo	Palazzeschi	Aldo_Palazzeschi	Testi_di_Aldo_Palazzeschi	-	Primo novecento	19	it	-
161	Marino_Moretti	Marino	Moretti	Marino_Moretti	©	-	Primo novecento	19	it	-
162	Clemente_Rebora	Clemente	Rebora	Clemente_Rebora	©	-	Primo novecento	19	it	-
163	Camillo_Sbarbaro	Camillo	Sbarbaro	Camillo_Sbarbaro	©	-	Primo novecento	19	it	-
164	Antonio Gramsci	Antonio	Gramsci	Antonio Gramsci	Testi_di_Antonio_Gramsci	-	Il secolo breve	19.1	it	-
173	Italo Svevo	Italo	Svevo	Italo Svevo	Testi_di_Italo_Svevo	-	Il secolo breve	19.1	it	-
165	Giuseppe Ungaretti	Giuseppe	Ungaretti	Giuseppe Ungaretti	©	-	Il secolo breve	19.1	it	-
166	Umberto Saba	Umberto	Saba	Umberto Saba	©	-	Il secolo breve	19.1	it	-
167	Salvatore Quasimodo	Salvatore	Quasimodo	Biografia	©	-	Il secolo breve	19.1	it	-
168	Alberto Moravia	Alberto	Moravia	Alberto_Moravia	©	-	Il secolo breve	19.1	it	-
169	Giacomo_Noventa	Giacomo	Noventa	Giacomo_Noventa	©	-	Il secolo breve	19.1	it	-
170	Delio_Tessa	Delio	Tessa	Delio_Tessa	©	-	Il secolo breve	19.1	it	-
171	Carlo_Betocchi	Carlo	Betocchi	Carlo_Betocchi	©	-	Il secolo breve	19.1	it	-
172	Massimo_Bontempelli	Massimo	Bontempelli	Massimo_Bontempelli	©	-	Il secolo breve	19.1	it	-
174	Carlo Emilio Gadda	Carlo Emilio	Gadda	Carlo Emilio Gadda	©	-	Il secolo breve	19.1	it	-
175	Eugenio Montale	Eugenio	Montale	Eugenio Montale	©	-	Il secolo breve	19.1	it	-
176	Dino Buzzati	Dino	Buzzati	Dino Buzzati	©	-	Dopoguerra	19.5	it	-
177	Sandro_Penna	Sandro	Penna	Sandro_Penna	©	-	Dopoguerra	19.5	it	-
178	Giorgio_Caproni	Giorgio	Caproni	Giorgio_Caproni	©	-	Dopoguerra	19.5	it	-
179	Elio_Vittorini	Elio	Vittorini	Elio_Vittorini	©	-	Dopoguerra	19.5	it	-
180	Cesare Pavese	Cesare	Pavese	Cesare Pavese	©	-	Dopoguerra	19.5	it	-
181	Elsa Morante	Elsa	Morante	Elsa Morante	©	-	Dopoguerra	19.5	it	-
182	Giuseppe_Tomasi_di_Lampedusa	Giuseppe	Tomasi di Lampedusa	Giuseppe_Tomasi_di_Lampedusa	©	-	Dopoguerra	19.5	it	-
183	Primo Levi	Primo	Levi	Primo Levi	©	-	Dopoguerra	19.5	it	-
184	Beppe Fenoglio	Beppe	Fenoglio	Beppe Fenoglio	©	-	Dopoguerra	19.5	it	-
185	Leonardo Sciascia	Leonardo	Sciascia	Biografia	©	-	Anni 60-70	19.6	it	-
186	Edoardo_Sanguineti	Edoardo	Sanguineti	Edoardo_Sanguineti	©	-	Anni 60-70	19.6	it	-
187	Mario_Luzi	Mario	Luzi	Mario_Luzi	©	-	Anni 60-70	19.6	it	-
188	Franco_Fortini	Franco	Fortini	Franco_Fortini	©	-	Anni 60-70	19.6	it	-
189	Andrea_Zanzotto	Andrea	Zanzotto	Andrea_Zanzotto	©	-	Anni 60-70	19.6	it	-
190	Alberto_Arbasino	Alberto	Arbasino	Alberto_Arbasino	©	-	Anni 60-70	19.6	it	-
191	Goffredo_Parise	Goffredo	Parise	Goffredo_Parise	©	-	Anni 60-70	19.6	it	-
192	Paolo_Volponi	Paolo	Volponi	Paolo_Volponi	©	-	Anni 60-70	19.6	it	-
193	Vittorio Sereni	Vittorio	Sereni	Vittorio Sereni	©	-	Anni 60-70	19.6	it	-
194	Fabrizio_De_André	Fabrizio	De André	Fabrizio_De_André	©	-	Anni 60-70	19.6	it	-
195	Italo Calvino	Italo	Calvino	Biografia	©	-	Anni 60-70	19.6	it	-
