id	subject	school	theme	argument	exhisting	article	average_daily_visit	Visite da 1/7/2015 al 31/05/2020	Media visite giornaliere 2019	size	notes	images	incipit_size	incipit_on_size	issues	Fonte necessaria	Chiarire	discussion_size	year	references	first_edit	days
3352	Storia dell'arte	Superiori	Arte greca		1	Arte greca arcaica	46	81851	38	40972	39	10	950	2.32	0	0	0	46	???	0	2012-01-31	3044
3528	Storia dell'arte	Superiori	Arte contemporanea		1	Arte informale	80	143115	77	3888	0	0	1361	35.01	1	0	0	2608	???	14	2005-06-22	5458
3397	Storia dell'arte	Superiori	Arte tardoantica		1	Arte longobarda	46	82795	39	26256	8	17	1771	6.75	0	0	0	778	???	8	2007-06-17	4733
3335	Storia dell'arte	Superiori	Le civiltà fluviali		1	Arte mesopotamica	33	59608	30	9108	5	1	506	5.56	0	0	0	3473	???	2	2006-09-25	4998
3346	Storia dell'arte	Superiori	Arte minoico-micenea		1	Arte minoico-micenea	33	59639	33	2738	0	3	875	31.96	1	0	0	4875	???	6	2007-09-13	4645
3394	Storia dell'arte	Superiori	Arte tardoantica		1	Arte paleocristiana	175	314658	156	38787	6	22	992	2.56	0	0	0	5926	???	6	2005-01-23	5608
3331	Storia dell'arte	Superiori	La Preistoria		1	Arte preistorica	140	251382	128	8347	0	8	694	8.31	0	0	0	2392	???	1	2006-06-07	5108
3332	Storia dell'arte	Superiori	La Preistoria		1	Arte preistorica in Italia	5	8816	4	11362	3	9	1025	9.02	1	0	0	236	???	3	2008-07-20	4334
3396	Storia dell'arte	Superiori	Arte tardoantica		1	Arte ravennate	66	117776	64	31995	1	11	1006	3.14	0	0	0	1016	???	1	2007-06-14	4736
3381	Storia dell'arte	Superiori	Arte romana		1	Arte romana	141	252778	113	59339	7	37	1255	2.11	0	0	0	6472	???	4	2005-03-06	5566
3399	Storia dell'arte	Superiori	Il Romanico		1	Arte romanica	195	349833	173	18775	4	6	1004	5.35	0	0	0	2940	???	0	2005-03-21	5551
3336	Storia dell'arte	Superiori	Le civiltà fluviali		1	Arte sumera	27	47794	23	17237	7	13	486	2.82	1	0	0	2277	???	1	2011-07-27	3232
3393	Storia dell'arte	Superiori	Arte romana		1	Arte tardoantica	28	50262	23	71504	5	49	568	0.79	0	0	0	2224	???	3	2006-03-16	5191
2919	Storia	Superiori	XVI-XVII secolo		1	Arte_barocca	197	353896	156	37463	2	30	370	0.99	0	0	0	36	???	7	???	#VALUE!
2920	Storia	Superiori	XVI-XVII secolo		1	Arte_della_Controriforma	39	69968	33	9156	0	3	418	4.57	0	0	0	36	???	3	???	#VALUE!
2869	Storia	Superiori	Basso medioevo	Arte nel medioevo	1	Arte_medievale	63	112741	57	16239	9	5	404	2.49	0	0	0	741	???	8	???	#VALUE!
910	Filosofia	Superiori	Tra settecento e ottocento		1	Arthur Schopenhauer	535	961874	498	57591	25	8	3791	6.58	0	0	0	18862	???	108	2004-07-11	5804
125	Biologia	Superiori	Corpo umano	Apparato locomotore	1	Articolazione	303	543907	268	10144	1	4	1073	10.58	1	0	0	2886	2	3	2005-07-08	5442
512	Cittadinanza e costituzione	Superiori	Lavoro nella costituzione		1	Articolo 36 della Costituzione italiana	46	82417	41	2064	3	0	230	11.14	0	0	0	549	0	2	2009-12-09	3827
1375	Grammatica italiana		Articolo	Articolo determinativo	0	Articolo determinativo				57	0	0	54	94.74	0	0	0	0	???	1	???	#VALUE!
1376	Grammatica italiana		Articolo	Articolo indeterminativo	0	Articolo indeterminativo				59	0	0	56	94.92	0	0	0	0	???	0	???	#VALUE!
1374	Grammatica italiana		Articolo	Articolo	1	Articolo_(linguistica)	71	127884	59	16882	13	1	924	5.47	0	0	0	3497	???	0	2004-02-26	5940
1377	Grammatica italiana		Articolo	Articolo partitivo	1	Articolo_partitivo	202	362500	122	7212	2	0	439	6.09	0	0	0	0	???	1	2007-12-10	4557
